"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
301-3-000037,일봉동주민센터주차장,공영,부설,충청남도 천안시 동남구 신용로 48,충청남도 천안시 동남구 다가동 368-8,8,2,미시행,평일+토요일+공휴일,09:00,22:00,09:00,22:00,09:00,22:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-4923,36.80122533,127.1420521,,2024-06-18
301-3-000038,중앙동주민센터주차장,공영,부설,충청남도 천안시 동남구 원성천1길 17(영성동),충청남도 천안시 동남구 영성동 62-6,5,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,충청남도 천안시청,041-521-4825,36.80006272,127.1524177,,2024-06-18
301-3-000039,신방동주민센터주차장,공영,부설,충청남도 천안시 동남구 천안천변길 129-41(신방동),충청남도 천안시 동남구 신방동 719-3,29,2,미시행,평일+토요일+공휴일,09:00,22:00,09:00,22:00,09:00,22:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-4941,36.78587053,127.1224907,,2024-06-18
301-3-000040,청룡동주민센터주차장,공영,부설,충청남도 천안시 동남구 청수14로 99,충청남도 천안시 동남구 청당동 479,19,2,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-4564,36.78607183,127.1567413,,2024-06-18
301-3-000041,병천면사무소주차장,공영,부설,충청남도 천안시 동남구 병천면 병천2로 57,충청남도 천안시 동남구 병천면 병천리 360-1,32,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,충청남도 천안시청,041-521-6884,36.76719291,127.3025835,,2024-06-18
301-3-000042,성남면사무소주차장,공영,부설,충청남도 천안시 동남구 성남면 신사대화로 149,충청남도 천안시 동남구 성남면 신사리 325-1,12,2,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-4741,36.74222767,127.2369289,,2024-06-18
301-3-000043,문성동주민센터주차장,공영,부설,충청남도 천안시 동남구 문화로 15,충청남도 천안시 동남구 문화동 39-4,115,2,미시행,평일+토요일+공휴일,09:00,23:59,09:00,23:59,09:00,20:00,유료,30,500,10,200,,10000,,현금,,충청남도 천안시청,041-521-4282,36.8109412,127.1502833,,2024-06-18
301-3-000044,원성1동주민센터주차장,공영,부설,충청남도 천안시 동남구 성황로 125,충청남도 천안시 동남구 원성동 31-62,13,2,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-4863,36.81187124,127.163016,,2024-06-18
301-3-000045,목천읍사무소주차장,공영,부설,충청남도 천안시 동남구 목천읍 서리1길 41-7,충청남도 천안시 동남구 목천읍 서리 93-1,30,2,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,22:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-4671,36.78517959,127.2346095,,2024-06-18
301-3-000046,동면사무소주차장,공영,부설,충청남도 천안시 동남구 동면 동산1길 15,충청남도 천안시 동남구 동면 화계리 181-1,23,2,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,22:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-4801,36.7761603,127.3443628,,2024-06-18
301-3-000047,광덕면사무소주차장,공영,부설,충청남도 천안시 동남구 광덕면 신흥리3길 33,충청남도 천안시 동남구 광덕면 신흥리 296-1,27,2,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-4706,36.69853981,127.1116009,,2024-06-18
301-3-000048,유관순사우주차장,공영,부설,충청남도 천안시 동남구 병천면 유관순길 38,충청남도 천안시 동남구 병천면 탑원리 269-1,67,2,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-2823,36.76009007,127.3083682,,2024-06-18
301-3-000049,유관순생가주차장,공영,부설,충청남도 천안시 동남구 병천면 유관순생가길 18-1,충청남도 천안시 동남구 병천면 용두리 305,36,2,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-2823,36.7571481,127.3167796,,2024-06-18
301-3-000050,이동녕선생기념관주차장,공영,부설,충청남도 천안시 동남구 목천읍 동리4길 35,충청남도 천안시 동남구 목천읍 동리 90-1,34,2,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-2823,36.79072254,127.2385675,,2024-06-18
301-3-000051,조병옥박사생가주차장,공영,부설,충청남도 천안시 동남구 병천면 유관순길 249,충청남도 천안시 동남구 병천면 용두리 261-6,6,2,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-2823,36.75170776,127.3146145,,2024-06-18
301-3-000052,중앙도서관주차장,공영,부설,충청남도 천안시 동남구 중앙로 118,충청남도 천안시 동남구 원성동 261-38,24,2,5부제,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-3721,36.8091134,127.1535923,,2024-06-18
301-3-000053,아우내도서관주차장,공영,부설,충청남도 천안시 동남구 병천면 병천2로 57,충청남도 천안시 동남구 병천면 병천리 46-5,41,2,5부제,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-3723,36.76719291,127.3025835,,2024-06-18
301-3-000054,신방도서관주차장,공영,부설,충청남도 천안시 동남구 통정4로 7,충청남도 천안시 동남구 신방동 1521,29,2,5부제,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-3724,36.77441534,127.1307313,,2024-06-18
302-2-000068,5단지시장주차장,공영,노외,충청남도 천안시 서북구 양지21길 31,충청남도 천안시 서북구 성정동 736-7,29,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,30,500,10,200,,10000,80000,현금,,충청남도 천안시 성정5단지시장상인회,041-000-0000,36.8126333,127.1392105,,2024-06-18
302-3-000075,천안시청주차장,공영,부설,충청남도 천안시 서북구 번영로 156,충청남도 천안시 서북구 불당동 234-1,348,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,충청남도 천안시청,041-521-5305,36.81612841,127.1130483,,2024-06-18
302-3-000076,서북구청 주차장,공영,부설,충청남도 천안시 서북구 성거읍 봉주로 75,충청남도 천안시 서북구 성거읍 신월리 343-1,249,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,충청남도 천안시청,041-521-6043,36.87871381,127.1559972,,2024-06-18
302-3-000077,성환읍사무소주차장,공영,부설,충청남도 천안시 서북구 성환읍 성환13길 7,충청남도 천안시 서북구 성환읍 성환리 274-1,56,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,충청남도 천안시청,041-521-5758,36.9181614,127.1343912,,2024-06-18
302-3-000078,직산읍사무소주차장,공영,부설,충청남도 천안시 서북구 직산읍 삼은4길 2,충청남도 천안시 서북구 직산읍 삼은리 76-189,62,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,충청남도 천안시청,041-521-6818,36.8790065,127.1504675,,2024-06-18
302-3-000079,입장면사무소주차장,공영,부설,충청남도 천안시 서북구 입장면 입장로 129,충청남도 천안시 서북구 입장면 하장리 77-1,32,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,충청남도 천안시청,041-521-6845,36.91295639,127.2212251,,2024-06-18
302-3-000080,성정2동주민센터주차장,공영,부설,충청남도 천안시 서북구 서부1길 57,충청남도 천안시 서북구 성정동 647-3,16,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,충청남도 천안시청,041-521-6884,36.82385581,127.1374898,,2024-06-18
302-3-000081,쌍용1동 주차장,공영,부설,충청남도 천안시 서북구 미라10길 21,충청남도 천안시 서북구 쌍용동 1030,9,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,충청남도 천안시청,041-521-6901,36.8040163,127.1305234,,2024-06-18
302-3-000082,쌍용2동 주차장,공영,부설,충청남도 천안시 서북구 쌍용14길 70,충청남도 천안시 서북구 쌍용동 183-1,21,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,충청남도 천안시청,041-521-6925,36.7962244,127.1235022,,2024-06-18
302-3-000083,쌍용3동주차장,공영,부설,충청남도 천안시 서북구 월봉로 138,충청남도 천안시 서북구 쌍용동 1950,24,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,충청남도 천안시청,041-521-6945,36.8029362,127.1191837,,2024-06-18
302-3-000084,부성1동주민센터주차장,공영,부설,충청남도 천안시 서북구 부대중앙길 51,충청남도 천안시 서북구 부대동 133-21,13,2,미시행,평일+토요일+공휴일,09:00,22:00,09:00,22:00,09:00,22:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-6981,36.84274668,127.1522288,,2024-06-18
302-3-000085,부성2동주민센터주차장,공영,부설,충청남도 천안시 서북구 부성7길 39-5,충청남도 천안시 서북구 두정동 1040,6,2,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-6691,36.83733587,127.1379223,,2024-06-18
302-3-000086,성거읍사무소주차장,공영,부설,충청남도 천안시 서북구 성거읍 봉주로 469,충청남도 천안시 서북구 성거읍 저리 57-26,49,2,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-6781,36.87798796,127.1991297,,2024-06-18
302-3-000087,성정1동주민센터주차장,공영,부설,충청남도 천안시 서북구 성정8길 5,충청남도 천안시 서북구 성정동 694-9,56,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,충청남도 천안시청,041-521-6864,36.8179437,127.141326,,2024-06-18
302-3-000088,성정1동주민자치센터주차장,공영,부설,충청남도 천안시 서북구 성정7길 34,충청남도 천안시 서북구 성정동 696-7,10,2,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-6864,36.8175221,127.1403271,,2024-06-18
302-3-000089,성정1동공영주차장,공영,부설,충청남도 천안시 서북구 선영7길 18-6,충청남도 천안시 서북구 성정동 131-14,52,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,충청남도 천안시청,041-521-6864,36.81569429,127.1444851,,2024-06-18
302-3-000090,쌍용도서관주차장,공영,부설,충청남도 천안시 서북구 월봉4로 153,충청남도 천안시 서북구 쌍용동 121-2,50,2,5부제,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-3731,36.80040792,127.1146208,,2024-06-18
302-3-000091,성거도서관주차장,공영,부설,충청남도 천안시 서북구 성거읍 천흥3길 3,충청남도 천안시 서북구 성거읍 천흥리 432-3,17,2,5부제,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-3734,36.87162843,127.2010113,,2024-06-18
302-3-000092,두정도서관주차장,공영,부설,충청남도 천안시 서북구 부성3길 9,충청남도 천안시 서북구 두정동 985,46,2,5부제,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,무료,0,,,,,,,,,충청남도 천안시청,041-521-3733,36.83459674,127.1346155,,2024-06-18
302-3-000092,시민문화여성회관주차장,공영,부설,충청남도 천안시 서북구 성정중4길 29,충청남도 천안시 서북구 성정동 1179,44,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,충청남도 천안시청,041-521-3741,36.8273354,127.1362858,,2024-06-18
302-3-000093,두정문화회관주차장,공영,부설,충청남도 천안시 서북구 봉정로 343,충청남도 천안시 서북구 두정동 1503,52,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,충청남도 천안시청,041-521-3744,36.83254793,127.1450507,,2024-06-18
302-3-000094,신부문화회관주차장,공영,부설,충청남도 천안시 서북구 신부2길 12,충청남도 천안시 서북구 신부동 471-1,20,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,충청남도 천안시청,041-521-3743,36.8176597,127.1594536,,2024-06-18
302-3-000095,성환문화회관주차장,공영,부설,충청남도 천안시 서북구 성환읍 성진로 15,충청남도 천안시 서북구 성환읍 성월리 79,170,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,충청남도 천안시청,041-521-3745,36.91253596,127.1366796,,2024-06-18
301-1-000001,차돌로 제1노상주차장,공영,노상,,충청남도 천안시 동남구 다가동 471,64,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,천안도시공사,041-529-5120,36.80244016,127.1411449,,2024-06-18
301-1-000002,신용로 제1노상주차장,공영,노상,충청남도 천안시 동남구 신용로 20,충청남도 천안시 동남구 다가동 478,95,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,천안도시공사,041-529-5120,36.80114649,127.1387965,,2024-06-18
301-1-000004,버들로 제1노상주차장,공영,노상,,충청남도 천안시 동남구 원성동 602,45,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,천안도시공사,041-529-5120,36.80918163,127.1581915,,2024-06-18
301-1-000005,성황로 제3노상주차장,공영,노상,충청남도 천안시 동남구 원성25길 21,충청남도 천안시 동남구 원성동 224-1,22,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,천안도시공사,041-529-5120,36.81418927,127.162674,,2024-06-18
301-1-000007,대흥로 제2노상주차장,공영,노상,,충청남도 천안시 동남구 사직동 321-4,28,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,천안도시공사,041-529-5120,36.80294273,127.146164,,2024-06-18
301-1-000009,성황로 제2노상주차장,공영,노상,,충청남도 천안시 동남구 원성동 610,50,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,천안도시공사,041-529-5120,36.81268831,127.1623341,,2024-06-18
301-1-000010,중앙로 제1노상주차장,공영,노상,,충청남도 천안시 동남구 영성동 129,18,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,천안도시공사,041-529-5120,36.80232263,127.1528277,,2024-06-18
301-1-000011,대흥로 제1노상주차장,공영,노상,,충청남도 천안시 동남구 대흥동 156-3,56,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,0,10,200,,10000,,카드+가상계좌입금,"유료 운영시간: 하절기 09:00~18:00, 동절기 09:00~17:00, 주말, 공휴일 무료 운영 / 최초 30분 무료 / 30분초과 시 10분마다 200원(2시간 이내)+2시간 초과 시 10분마다 300원 / 경차 및 장애인 50 할인",천안도시공사,041-529-5120,36.80717031,127.1475025,,2024-06-18
301-2-000012,신부 제1공영주차장,공영,노외,충청남도 천안시 동남구 터미널8길 7,충청남도 천안시 동남구 신부동 628,38,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,0,10,100,24,5000,40000,카드+가상계좌입금,환승주차장 / 최초30분 무료 / 30분초과 시 10분마다 100원(2시간 이내)+2시간 초과 시 10분마다 200원 / 경차 및 장애인 50 할인,천안도시공사,041-529-5120,36.8222344,127.1579813,,2024-06-18
301-2-000015,광덕 제2공영주차장,공영,노외,충청남도 천안시 동남구 광덕면 해수길 50,충청남도 천안시 동남구 광덕면 광덕리 560-2,151,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,천안도시공사,041-529-5120,36.67234277,127.0455523,,2024-06-18
301-2-000017,병천 제1공영주차장,공영,노외,충청남도 천안시 동남구 병천면 아우내순대길 22,충청남도 천안시 동남구 병천면 병천리 211-1,114,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,천안도시공사,041-529-5120,36.75965335,127.2981998,,2024-06-18
301-2-000018,목천 제1공영주차장,공영,노외,,충청남도 천안시 동남구 목천읍 운전리 503,486,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,천안도시공사,041-529-5120,36.76214263,127.2273522,,2024-06-18
301-2-000020,광덕 제1공영주차장,공영,노외,충청남도 천안시 동남구 광덕면 광풍로 264,충청남도 천안시 동남구 광덕면 광덕리 403-9,424,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,천안도시공사,041-529-5120,36.67465099,127.0536174,,2024-06-18
301-2-000021,안서 제1공영주차장,공영,노외,,충청남도 천안시 동남구 안서동 526-39,121,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,천안도시공사,041-529-5120,36.837569,127.173361,,2024-06-18
301-2-000023,신부 제2공영주차장,공영,노외,,충청남도 천안시 동남구 신부동 77-26,12,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,천안도시공사,041-529-5120,36.814005,127.160149,,2024-06-18
301-2-000024,신부 제3공영주차장,공영,노외,,충청남도 천안시 동남구 신부동 331-43,13,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,천안도시공사,041-529-5120,36.820381,127.153829,,2024-06-18
301-2-000025,구성 제1공영주차장,공영,노외,충청남도 천안시 동남구 대흥로 29,충청남도 천안시 동남구 구성동 531,18,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,천안도시공사,041-529-5120,36.79647634,127.1573648,,2024-06-18
301-2-000026,북면 제1공영주차장,공영,노외,충청남도 천안시 동남구 북면 박문수길 108,충청남도 천안시 동남구 북면 은지리 101,23,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,천안도시공사,041-529-5120,36.77775914,127.2685935,,2024-06-18
301-2-000027,북면 제2공영주차장,공영,노외,충청남도 천안시 동남구 북면 박문수길 135-12,충청남도 천안시 동남구 북면 은지리 45-1,13,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,천안도시공사,041-529-5120,36.77890447,127.2716407,,2024-06-18
301-2-000029,청당 제2공영주차장,공영,노외,,충청남도 천안시 동남구 청당동 567,17,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,천안도시공사,041-529-5120,36.785089,127.1574072,,2024-06-18
301-2-000030,신방 제1공영주차장,공영,노외,,충청남도 천안시 동남구 신방동 1901,49,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,천안도시공사,041-529-5120,36.773007,127.132113,,2024-06-18
301-2-000074,신부 제4공영주차장,공영,노외,충청남도 천안시 동남구 먹거리 9길 16,충청남도 천안시 동남구 신부동 458-14,13,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,0,10,100,,10000,,카드+가상계좌입금,유료 운영시간: 09:00 ~ 21:00 / 최초30분 무료 / 30분초과 시 10분마다 200원(2시간 이내)+2시간 초과 시 10분마다300원 / 경차 및 장애인 50 할인,천안도시공사,041-529-5120,36.81752115,127.1556505,,2024-06-18
301-2-000097,대흥 제1공영주차장,공영,노외,충청남도 천안시 동남구 대흥로 205,충청남도 천안시 동남구 대흥동 144,25,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,0,10,200,24,10000,80000,카드+가상계좌입금,최초30분 무료 / 30분초과 시 10분마다 200원(2시간 이내)+2시간 초과 시 10분마다 300원 / 경차 및 장애인 50 할인,천안도시공사,041-529-5120,36.80651394,127.1468451,,2024-06-18
301-2-000098,명동 공영주차장,공영,노외,충청남도 천안시 동남구 명동길 36,충청남도 천안시 동남구 오룡동 20-1,77,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,0,10,200,24,10000,80000,카드+가상계좌입금,최초30분 무료 / 30분초과 시 10분마다 200원(2시간 이내)+2시간 초과 시 10분마다 300원 / 경차 및 장애인 50 할인,천안도시공사,041-529-5120,36.80637728,127.1487237,,2024-06-18
301-2-000099,목천 제2공영주차장,공영,노외,,충청남도 천안시 동남구 목천면 서흥리 124-1,25,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,천안도시공사,041-529-5120,36.806065,127.238488,,2024-06-18
301-2-000099,봉명 제1공영주차장,공영,노외,,충청남도 천안시 동남구 봉명동 10-2,100,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,천안도시공사,041-529-5120,36.803699,127.141079,,2024-06-18
301-2-000100,봉명 제2공영주차장,공영,노외,,충청남도 천안시 동남구 봉명동 20-27,21,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,천안도시공사,041-529-5120,36.802751,127.138902,,2024-06-18
301-2-000101,사직 제1공영주차장,공영,노외,,충청남도 천안시 동남구 사직동 287-5,57,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,천안도시공사,041-529-5120,36.79830415,127.148763,,2024-06-18
302-1-000056,쌍용대로 제1노상주차장,공영,노상,,충청남도 천안시 서북구 성정동 748,43,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,천안도시공사,041-529-5120,36.81787109,127.1356868,,2024-06-18
302-1-000057,성정로 제1노상주차장,공영,노상,충청남도 천안시 서북구 성정로 75,충청남도 천안시 서북구 성정동 751,27,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,천안도시공사,041-529-5120,36.81441951,127.139401,,2024-06-18
